Entity,Code,"Indicator:Alcohol, abstainers lifetime (%) - Sex:Both sexes"
Afghanistan,AFG,92.5
Albania,ALB,24.4
Algeria,DZA,81.3
Andorra,AND,12.6
Angola,AGO,52
Antigua and Barbuda,ATG,15.3
Argentina,ARG,21
Armenia,ARM,23
Australia,AUS,10
Austria,AUT,18.1
Azerbaijan,AZE,38.7
Bahamas,BHS,24.5
Bahrain,BHR,85.6
Bangladesh,BGD,89.3
Barbados,BRB,12.3
Belarus,BLR,12.8
Belgium,BEL,6.2
Belize,BLZ,61.3
Benin,BEN,51.1
Bhutan,BTN,78.5
Bolivia,BOL,27.3
Bosnia and Herzegovina,BIH,22.4
Botswana,BWA,41.3
Brazil,BRA,21.9
Brunei,BRN,66
Bulgaria,BGR,14.6
Burkina Faso,BFA,50.8
Burundi,BDI,44.9
Cambodia,KHM,49.3
Cameroon,CMR,43.8
Canada,CAN,11.1
Cape Verde,CPV,48.9
Central African Republic,CAF,65.9
Chad,TCD,73.7
Chile,CHL,16.1
China,CHN,38.7
Colombia,COL,30.9
Comoros,COM,76.1
Congo,COG,62
Cook Islands,COK,33.1
Costa Rica,CRI,27.6
Cote d'Ivoire,CIV,67.9
Croatia,HRV,8.1
Cuba,CUB,17.4
Cyprus,CYP,6.4
Czech Republic,CZE,2.6
Democratic Republic of Congo,COD,62.8
Denmark,DNK,4.5
Djibouti,DJI,84.5
Dominica,DMA,20.8
Dominican Republic,DOM,25.2
Ecuador,ECU,31.8
Egypt,EGY,89.7
El Salvador,SLV,34.4
Equatorial Guinea,GNQ,48.7
Eritrea,ERI,51.1
Estonia,EST,17
Ethiopia,ETH,71.2
Fiji,FJI,46
Finland,FIN,14
France,FRA,2
Gabon,GAB,37.9
Gambia,GMB,87.9
Georgia,GEO,51.3
Germany,DEU,5.5
Ghana,GHA,64.1
Greece,GRC,14.7
Grenada,GRD,30.7
Guatemala,GTM,36.1
Guinea,GIN,82.5
Guinea-Bissau,GNB,60.5
Guyana,GUY,20.3
Haiti,HTI,24.2
Honduras,HND,31.8
Hungary,HUN,6.7
Iceland,ISL,14.1
India,IND,74.2
Indonesia,IDN,82.1
Iran,IRN,93.2
Iraq,IRQ,90.8
Ireland,IRL,6.7
Israel,ISR,41.3
Italy,ITA,25.7
Jamaica,JAM,32.4
Japan,JPN,12
Jordan,JOR,92.8
Kazakhstan,KAZ,48.3
Kenya,KEN,64.6
Kiribati,KIR,57.1
Kuwait,KWT,79.3
Kyrgyzstan,KGZ,49.4
Laos,LAO,31.3
Latvia,LVA,14.3
Lebanon,LBN,78.8
Lesotho,LSO,58.2
Liberia,LBR,63.1
Libya,LBY,95.4
Lithuania,LTU,16.8
Luxembourg,LUX,1.7
Macedonia,MKD,22.6
Madagascar,MDG,72.6
Malawi,MWI,67.9
Malaysia,MYS,81
Maldives,MDV,80.1
Mali,MLI,93.6
Malta,MLT,19.2
Mauritania,MRT,95
Mauritius,MUS,55.8
Mexico,MEX,22.6
Micronesia (country),FSM,46.7
Moldova,MDA,15.7
Mongolia,MNG,32.5
Montenegro,MNE,16.8
Morocco,MAR,86.6
Mozambique,MOZ,69.6
Myanmar,MMR,84.1
Namibia,NAM,48.7
Nauru,NRU,62.6
Nepal,NPL,84.4
Netherlands,NLD,3.8
New Zealand,NZL,11.1
Nicaragua,NIC,29.8
Niger,NER,92.4
Nigeria,NGA,39.2
Niue,NIU,34.2
North Korea,PRK,66.3
Norway,NOR,5.5
Oman,OMN,89.9
Pakistan,PAK,92.1
Palau,PLW,24.7
Panama,PAN,20
Papua New Guinea,PNG,53
Paraguay,PRY,17.9
Peru,PER,25.1
Philippines,PHL,34
Poland,POL,27.3
Portugal,PRT,22.5
Qatar,QAT,88.7
Romania,ROU,14.3
Russia,RUS,13
Rwanda,RWA,42.8
Saint Kitts and Nevis,KNA,35.7
Saint Lucia,LCA,26.9
Saint Vincent and the Grenadines,VCT,23.8
Samoa,WSM,42.1
Sao Tome and Principe,STP,50.7
Saudi Arabia,SAU,90.1
Senegal,SEN,90.2
Serbia,SRB,16
Seychelles,SYC,34.1
Sierra Leone,SLE,42.7
Singapore,SGP,34.5
Slovakia,SVK,14.4
Slovenia,SVN,55.6
Solomon Islands,SLB,92.5
Somalia,SOM,42
South Korea,KOR,33.5
Spain,ESP,12.6
Sri Lanka,LKA,69.1
Sudan,SDN,75.9
Suriname,SUR,27.1
Swaziland,SWZ,43.7
Sweden,SWE,12.1
Switzerland,CHE,5.7
Syria,SYR,83.2
Tajikistan,TJK,82.5
Tanzania,TZA,45.1
Thailand,THA,59.5
Timor,TLS,84.7
Togo,TGO,33.1
Tonga,TON,54.8
Trinidad and Tobago,TTO,28
Tunisia,TUN,86.3
Turkey,TUR,79.6
Turkmenistan,TKM,46.6
Tuvalu,TUV,62.8
Uganda,UGA,41.4
Ukraine,UKR,12.5
United Arab Emirates,ARE,84.4
United Kingdom,GBR,15.1
United States,USA,12
Uruguay,URY,21.1
Uzbekistan,UZB,47.8
Vanuatu,VUT,56
Venezuela,VEN,20.7
Vietnam,VNM,49.3
Yemen,YEM,92.1
Zambia,ZMB,59.8
Zimbabwe,ZWE,49.8
