001 Bock - 01,Traditional Bock,6.58,22.54,19.94 °L
Single Hop Lager I,German Pilsner (Pils),5.1,25.88,3.97 °L
Jake's Smithwicks Clone,Irish Red Ale,5.68,19.27,23.77 °L
Grandma's Secret Stash,Oatmeal Stout,5.68,32.26,36.91 °L
Long Trail Ale Clone,Altbier,4.61,16.17,11.1 °L
Margarita Gose,Berliner Weisse,4.29,7.71,3.22 °L
3 Gallon - American Blonde Ale,Blonde Ale,5.4,21.34,5.2 °L
Widmer's BRRR,American Amber Ale,6.26,57.17,17.46 °L
Bakke Brygg JuleAle 2014 Speidel 50 L,Old Ale,7.37,46.9,30.02 °L
Pre-Prohibition Corn Lager,Pre-Prohibition Lager,6,37.83,4.89 °L
Kama Citra,American IPA,7.09,45.5,8.02 °L
Shirley's Strawberry Saison,Saison,5.91,33.33,7.21 °L
Ryebock,Maibock/Helles Bock,6.47,29.91,6.05 °L
Joe's Sierra Nevada Pale Ale Clone,American Pale Ale,5.63,37.66,7.55 °L
Coffee Porter,American Porter,5.44,25.8,41.25 °L
Todd The Axe Man Clone,American IPA,7.45,73.19,6.31 °L
Nightmare On Brett Clone-ish,Baltic Porter,9.02,7.8,28.8 °L
CM Dubbel,Belgian Dubbel,6.92,23.9,14.1 °L
Dark Amber,American Amber Ale,6.8,47.56,13.5 °L
#55 HGB Hefeweizen,Weissbier,8.67,15.85,4.03 °L
CM Dubbel,Belgian Dubbel,6.92,23.9,14.1 °L
Mosaic/Galaxy New England DIPA,Double IPA,7.96,61.28,6.58 °L
Chocolate Pecan Porter #1,Baltic Porter,7.29,34.81,29.06 °L
PopsBlack (Kostritzer Clone),Schwarzbier,4.72,29.53,24.86 °L
Brewers Gold Clone,British Golden Ale,4.06,44.55,5.4 °L
Extract ESB,Extra Special/Strong Bitter (ESB),5.74,48.7,10.17 °L
Mango Maya Milkshake IPA,Specialty IPA: New England IPA,8.28,48.9,7.65 °L
Poppy's Steam Beer,California Common Beer,4.14,70.2,4.99 °L
RUSSIAN IMPERIAL STOUT AWARD WINNER,Russian Imperial Stout,9.04,97.69,50 °L
Delirium Tremens,Belgian Golden Strong Ale,6.48,0,4.95 °L
Zombie Dust Clone - Partial Mash,American IPA,5.83,71.05,8.98 °L
**Erdinger Weissbier (slightly Changed),Weizen/Weissbier,5.08,17.89,3.7 °L
