Yuen Porter Clone,Baltic Porter,4.15,24.8,4.24
Tiny Bottom Pale Ale,American Pale Ale,5.3,42.11,8.2
Elderberry Lambic,Fruit Lambic,6.55,43.84,4.72
Trillium Melcher Street Clone,American IPA,7.47,88.47,5.61
Stout Braggot 2017,Braggot,14.46,0,37.4
Domaine Dupage French Country Ale,Bière de Garde,6.21,26.53,13.39
Jane Brown Ale,American Brown Ale,4.82,31.73,19.15
Standard Lager,International Pale Lager,4.96,22.36,3.98
Emily's Pumpkin Ale,Dunkelweizen,5.32,16.98,9.27
Hoppy Wheat,American Wheat or Rye Beer,4.85,32.1,5.51
Improper Job,English IPA,6.19,58.62,9.27
Off The Topper IIPA,Imperial IPA,8.91,125.45,13.68
Country Blonde,Bohemian Pilsener,4.62,17.64,4.24
Baaster Erste Ale By Blaser,American Pale Ale,6.8,53.21,4.24
Joe's German Ryebier,Roggenbier (German Rye Beer),5.05,16.61,16.47
California Lager,American Lager,5.49,30.57,3.95
黒ライPA,Specialty IPA: Black IPA,5.53,61.94,38.12
2015.6 - Russian River Supplication,Fruit Lambic,5.91,22.79,12.67
So It Gose V1,Gose,3.45,9.58,3.52
Sam Smith Oatmeal Stout Clone,Oatmeal Stout,5.34,34.96,35.12
Sarah's Saazy Saison,Saison,4.48,30.65,7.89
#0016 Jamil Myburger German Pilsner,German Pilsner (Pils),5.04,36.34,3.42
Grapefruit IPA (Sculpin Clone),American IPA,7.24,50.95,6.04
Dead In The Water,Imperial IPA,11.06,92.22,11.96
Guinness,Dry Stout,4.63,38.21,34.2
Speidel #2 Amber,American Amber Ale,6.1,32.59,12.88
Hoppy Blonde,Blonde Ale,5.06,16.11,4.4
Saison,Saison,6.23,25.56,3.15
Imperialist Stout,Imperial Stout,9.11,78.8,50
Lavender Hibiscus Saison,Saison,8.57,57.83,7.63
Belgian Blond,Belgian Blond Ale,6.64,25.88,3.86
Short Boil Pale,American Pale Ale,5.98,45.58,5.67
Chocolate Peanut Butter Porter,Robust Porter,5.52,41.13,29.97
Munich Helles Tovar,Munich Helles,4.81,16.26,4.85
RIS,Russian Imperial Stout,13.39,78.63,50
Stoogie Style Scottish Pale Ale,Scottish Heavy 70/-,3.81,13.3,13.44
Mint Chocolate Stout,American Stout,6.82,72.48,36.44
White IPA,Witbier,3.83,44.07,4.51
Beam Me Up,Scottish Export 80/-,6.25,22.29,17.73
Grill0 IPA 2 Gallon,Imperial IPA,6.72,229.86,9.2
Canadian Blonde Ale,Blonde Ale,5.02,20.72,4.67
Dunkel Hofbrau,Munich Dunkel,5.53,0,18.05
Orange IPA,Fruit Beer,6.68,91.74,4.3
White IPA,Witbier,3.83,44.07,4.51
Grill0 IPA 2 Gallon,Imperial IPA,6.72,229.86,9.2
Boulevard Pale Ale Clone 2,American Pale Ale,5.73,34.54,9.57
Sour Patch  Lime IPA,American IPA,6.72,68.58,4.67
Simple Stout,Irish Stout,5.02,26.4,37.04
Snowclone,American Strong Ale,7.95,24.81,30.06
Bass Ale Clone,Extra Special/Strong Bitter (ESB),5.17,42.61,9.87
ESB Ale,Extra Special/Strong Bitter (ESB),4.78,32.64,8.66
Dampfbier,Specialty Beer,5.23,16.24,7.22
Citra SMaSH IPA,American IPA,6.18,67.37,4.23
Bombastic Smoke Pumpkin Seed Saison - PM,Saison,6.75,9.93,14.06
Grätzer Is Great Sir!,Piwo Grodziskie,3.06,25.22,3.5
Stoke,Dark Mild,3.63,20.06,17.38
7 Deadly Cs V2,American IPA,8.22,73.44,7.93
Very American Wheat,American Wheat or Rye Beer,5.26,17.67,4.74
New England Pilsner Pale Ale - Citra/Mosaic,American IPA,5.15,64.21,4.63
AUTUMN AMBER KELLER V2,Kellerbier: Amber Kellerbier,5.1,38.69,11.23
Murphy's Clone,Dry Stout,4.22,33.17,21.82
New England Pilsner Pale Ale - Citra/Mosaic,American IPA,5.15,64.21,4.63
Caveman's Coffin,American IPA,7.11,54.1,11.4
AUTUMN AMBER KELLER V2,Kellerbier: Amber Kellerbier,5.1,38.69,11.23
03B1. Czech Premium Pale Lager,Czech Premium Pale Lager,5.09,37.83,5.44
Modern Times Beer Neverwhere,American IPA,7.3,98.12,6.27
"MidWest ""59"" IPA (Nelly)",American IPA,5.92,58.76,6.7
Lemon Ginger Radler,American Wheat or Rye Beer,4.55,20.82,3.17
Bros Orange Wheat,American Wheat Beer,5.23,17.35,5.88
2016 American Lager,American Lager,4.7,17.66,3.31
Camden Pale Ale,Standard/Ordinary Bitter,4.26,39.85,5.82
Orange Chocolate Porter,Tropical Stout,7.43,9.78,35.69
Welsh's American Lager,Standard American Lager,4.65,24.78,4.5
Uerige Alt,Düsseldorf Altbier,4.76,52.16,9.33
Tripel #2,Belgian Tripel,9.45,21.78,5.97
German Maibock V1,Maibock/Helles Bock,6.87,23.49,7.05
Epoch - Dark Ages (Dunkel),Munich Dunkel,5.04,19.32,24.36
Maple Wheat,American Wheat or Rye Beer,4.7,14.19,9.52
Bud Lite,Light American Lager,4.01,18.4,2.31
Nelson Dipa,American IPA,3.43,22.65,6.74
Nelson Dipa,American IPA,3.43,22.65,6.74
The Gentleman's IPA V2,English IPA,5.86,40.12,6.52
Bourbon Barrel Barleywine,American Barleywine,10.22,94.27,10.68
FIENS 23L,Imperial Stout,11.01,44.75,50
Cotton Belt (Blackberry Saison),Saison,5.43,25.72,3.65
Summer Wheat,American Wheat Beer,5.64,30.22,5.13
Семен Семеныч,Flanders Brown Ale/Oud Bruin,3.52,19.78,18.33
Steve N' Paul Mild,Mild,3.73,22.68,23.96
Unholy Stag Milk Stout,Sweet Stout,5.62,38.09,40
Buckwheat-Honey Oatmeal Stout,Alternative Sugar Beer,4.92,64.29,34.85
Ginger Beer,Spice Herb or Vegetable Beer,3.94,0,2.58
Saison Cascade,Saison,6.14,14.91,3.56
Dinkey Creek Red,Vienna Lager,5.23,31.21,15.89
Maris Otter / Centennial Smash,American IPA,6.32,67.34,6.29
Homeless Refusal,Irish Red Ale,4.85,30.03,12.8
Maple Stout,American Stout,6.01,53.67,35.87
Gruit II,Specialty Beer,8.16,0,16.5
Evil's Sway Session IPA,American IPA,4.86,59.38,5.85
Mustard Pretzel Beer For Lola,American Light Lager,6.22,11.14,4.56
Pale Ale,English IPA,4.88,62.22,8.75
Mustard Pretzel Beer For Lola,American Light Lager,6.22,11.14,4.56
Pale Ale,English IPA,4.88,62.22,8.75
American Pale Ale 3,American Pale Ale,6.29,41.77,8.65
Nut Job 2014,American Brown Ale,5.62,46.97,25.4
Holy Mole',American Stout,10.59,31.26,50
BlackRock Riwaka Pale Ale,American Pale Ale,5.02,0,12.43
Get Your A** To Marzen (10 Gal),Oktoberfest/Märzen,5.74,21.07,9.06
Hoppy Golden Ale,American Pale Ale,5.27,42.34,5.41
Pliney And Friends,Imperial IPA,8.34,122.77,7.66
Kolsch,Kölsch,4.74,25.92,3.13
Unicorn Jazz,American IPA,7.12,41.25,5.78
Gumballhead,American Pale Ale,6.16,26.31,6.19
IPA Argenta,American IPA,6.13,52.45,6.3
Sassenach English IPA,English IPA,5.65,48.9,10.4
Old Chub Clone,Scottish Heavy 70/-,8.22,40.45,24.57
HelloIPA,American IPA,5.82,62.47,11.47
Lionheart's Celtic Brown Ale,Southern English Brown,5.27,19.72,27.96
(2016-05-02) Vienna Lager,Vienna Lager,5.74,25.95,13.46
Bakke Brygg Mild 25 L,Mild,3.52,25.19,18.39
Ballantine IPA Clone,Imperial IPA,8.08,70.63,9.15
Pina Colada Express,Specialty IPA: White IPA,5.97,34.63,3.39
Schwartz,Schwarzbier,5.4,24.74,29.16
The Half Nelson (Nelson Sauvin Pale Ale),American Pale Ale,5.18,38.3,7.52
ØKOBrøggeren Hybenrose/ØKO Saison,Blonde Ale,5.63,25.54,7.95
' #1 A Red Head Wheat,American Wheat or Rye Beer,5.02,20.42,5.87
Old English Export Porter,Baltic Porter,6.9,36.58,40
#1 Belgian Amber,Belgian Dark Strong Ale,5.87,34.26,20.43
Ballantine IPA Clone,Imperial IPA,8.08,70.63,9.15
NB La Petite Orange Blanche,Belgian Pale Ale,6.03,17.03,8.41
Belgian Dubbel,Belgian Specialty Ale,7.03,21.51,17.94
Hwt Brunch Stout,Oatmeal Stout,6.11,92.76,40
Pizza Port's Shark Bite Red,American Amber Ale,6.73,83.36,21.64
Brown Eyed Bitch,American Brown Ale,5.43,37.62,19.7
Eureka Citra,American Pale Ale,4.28,25.09,4.76
Sierra Nevada Clone,American Pale Ale,5.78,32.41,7.84
Honey Amber Ale,American Amber Ale,5.46,27.44,14.93
NOGTFT! - Old Bruin,Flanders Brown Ale/Oud Bruin,6.17,34.85,18.68
Chocolate Peanut Butter Porter,American Porter,6.35,41.99,40.43
Shiny Head Wheat,American Wheat or Rye Beer,4.19,22.33,3.59
Light Ale,Blonde Ale,6.54,9.04,5.22
Qvart Session IPA Clone,American Pale Ale,4.69,30.67,4.99
Light Ale,Blonde Ale,6.54,9.04,5.22
Raisin Cane (Dogfish Raizon D'tre Clone),Belgian Specialty Ale,7.51,24.64,14.03
Derrick The Sean II,Scottish Heavy 70/-,6.45,32.9,21.34
Hoposaurus,Premium American Lager,1.73,0,8.85
Dreaded American Cascade Rye Ale,American Wheat or Rye Beer,4.46,27.31,5.44
American IPA,American IPA,7.65,67.87,10.55
Sierra Nevada Pale Ale,American Pale Ale,5.48,41.4,8.15
4Gs Sunshine NEIPA,Specialty IPA: New England IPA,4.82,49.63,5.36
Blood Orange Pale,American Pale Ale,6.43,58.05,6.93
Vienna Smash Perle 10-17-2013 Brewed,Blonde Ale,4.47,22.38,5.84
MMMM... Mango Mosaic Milkshake Micro IPA,American IPA,3.22,37.37,4.8
Single Hop Sabro,American Pale Ale,4.81,42.85,6.59
06: Black Cherry Wheat #2,Belgian Specialty Ale,5.51,15.97,26.91
Honey Pilsner,Cream Ale,6.63,32.02,4.25
Pliny The Elder - Vinnie Cilurzo,American IPA,7.6,178.05,8.67
Almostentinus,Dunkelweizen,8.25,6.79,14.69
_033 BBlonde,Belgian Blond Ale,4.68,22.61,2.58
Back Ache Legs Stiff Four Hour (I Am Fed Up)  Grain IPA,American IPA,5.34,161.83,7.19
Look! A Baby Koala!,American Pale Ale,5.32,43.57,5.25
Back Ache Legs Stiff Four Hour (I Am Fed Up)  Grain IPA,American IPA,5.34,161.83,7.19
Mosaic 2-Row Pale Ale SMASH,American Pale Ale,5.92,46.47,3.59
Look! A Baby Koala!,American Pale Ale,5.32,43.57,5.25
Amarillo Sunset Red IPA,Specialty IPA: Red IPA,6.66,78.37,17.81
Water Into Barleywine,English Barleywine,9.79,70.67,21.32
Maris Otter Simcoe,American Pale Ale,5.58,39.64,9.67
Julöl 2014,Old Ale,5.64,70.42,8.5
Founders Porter Clone,Robust Porter,6.44,50.3,43.98
Amber Weiss,Weissbier,5.72,12.04,10.13
Buckwheat Mead W/ Coffee & Cacao,Dry Mead,7.12,12.73,3.41
Spotted Cow Clone,Cream Ale,4.89,18.48,4.48
1028 Through A Mild Darkly,Dark Mild,3.52,16.9,17.57
Czech This #2,Czech Premium Pale Lager,4.86,37.57,4.57
West Coast IPA,American IPA,6.03,63.08,4.31
Hop Rod Rye Clone,American Wheat or Rye Beer,0,0,0
Timothy Taylor's Landlord,Standard/Ordinary Bitter,4.27,43.93,7.84
Broke-Ass Secksial Chockolatt,Imperial Stout,9.76,44.74,50
How Rye I Am (Rye Saison),Saison,6.65,31.24,5.32
TCP-IPA,American IPA,7.07,45.37,6.83
#6 Svigermors Påske,Kölsch,4.8,37.31,4.56
How Rye I Am (Rye Saison),Saison,6.65,31.24,5.32
#6 Svigermors Påske,Kölsch,4.8,37.31,4.56
Gose W/ Acidulated Malt And Comet Hops,Gueuze,4.1,6.42,3.83
Spotted Cow Clone,Cream Ale,4.7,20.47,4.73
Eric's Winter Kolsch Larger Boil,Kölsch,4.97,25.55,3.53
SchuBrew DoppleBock,Doppelbock,8.59,28.03,23.18
4323 Amber Ale,American Amber Ale,4.37,50.47,16.82
New IPA,American IPA,5.76,60.39,6.73
Solstice Summer Ale,Blonde Ale,4.61,26.34,3.71
Stokksund Blonde 30l,Belgian Blond Ale,7.04,27.06,5.93
Munich Helles,Munich Helles,4.95,19.87,3.62
Cascade Blonde,Blonde Ale,4.69,22.71,3.69
Rasputin's Blood,Russian Imperial Stout,8.8,56.41,37.77
Brewmasters Reserve Oktoberfest,No Profile Selected,4.27,38.58,11.16
Sour Wheat,Berliner Weisse,4.51,4.4,2.35
Willamette Smash,American Pale Ale,4.96,41.73,11.65
Generic Pale Ale,American Pale Ale,5.02,24.61,6.12
Florasian Saison,Saison,6.89,31.54,7.53
Instante V2,Belgian Golden Strong Ale,7.81,35.95,7.18
Hoegaarden Clone,Weissbier,5.11,14.7,3.3
Nattdykk - HoP Porter,Robust Porter,6.11,37.26,37.39
Cereale Killer,American Pale Ale,4.71,35.31,5.54
#25 Imperial Stout With Cacao Nibs,Imperial Stout,10.01,47.71,50
Hoegaarden Clone,Weissbier,5.11,14.7,3.3
Raspberry Wit,Witbier,7.72,28.25,4.43
Sculpin Clone,American IPA,7.26,73.99,6.27
Blueberry Ale,Fruit Beer,5.72,15.56,14.45
Lemon Gose,Mixed-Fermentation Sour Beer,5.81,11.86,4.56
Crags Ale - 30l,Best Bitter,4.29,33.29,8.56
Summer Ale I,Blonde Ale,4.43,26.64,3.23
Hazy Hop Burst IPA R0,American IPA,6.54,26.82,4.21
Cock Soup Gold,British Golden Ale,4.32,39.77,6.51
